ratio;1;1;1;1;0,5;0,5;0,5;0,5;2;2;2;2;;
gamma;0,99;0,95;0,9;0,8;0,99;0,95;0,9;0,8;0,99;0,95;0,9;0,8;;
contraction;;;;;;;;;;;;;;SOMME
0,9;2,166859207;2,082279541;2,254875676;2,254875676;2,119697472;1,989371166;2,111866365;2,111866365;2,160349928;2,270645919;2,270645919;2,336967045;;26,13030028
0,3;2,037267293;2,204928992;2,163285495;2,15544747;2,1262978;2,072934052;2,097068055;2,097068055;2,065021129;2,308092411;2,313270008;2,310569739;;25,9512505
n=100 p=10 B=2000 ackley;;;;;;;;;;;;;;
SOMME_ratio_gamma;4,2041265;4,287208533;4,418161171;4,410323146;4,245995273;4,062305218;4,208934421;4,208934421;4,225371056;4,57873833;4,583915927;4,647536784;;
SOMME_ratio;17,31981935;;;;16,72616933;;;;18,0355621;;;;;
