ratio;1;1;1;1;0,5;0,5;0,5;0,5;2;2;2;2;;
gamma;0,99;0,95;0,9;0,8;0,99;0,95;0,9;0,8;0,99;0,95;0,9;0,8;;
contraction;;;;;;;;;;;;;;SOMME
0,9;1,357478078;1,796533606;1,477650258;1,459511473;1,42330815;1,772269179;1,552669863;1,399740287;1,611853244;1,457112086;1,749029673;1,954969564;;19,01212546
0,3;1,332636094;1,582306467;1,35300916;1,706182666;1,143887106;1,519061001;1,406077087;1,677348166;1,065643999;1,521982744;1,652425627;1,524027866;;17,48458798
n=40 p=9 B=2000 ackley;;;;;;;;;;;;;;
SOMME_ratio_gamma;2,690114172;3,378840073;2,830659419;3,165694139;2,567195257;3,29133018;2,95874695;3,077088453;2,677497243;2,97909483;3,4014553;3,47899743;;
SOMME_ratio;12,0653078;;;;11,89436084;;;;12,5370448;;;;;
